id;purchase_id;rating;review
1;293813371.0;9;Excellent service!
2;696524227.0;8;Everything was great, thank you!
3;14417739.0;10;Outstanding customer service!
5;691165168.0;6;Quality did not meet my expectations.
6;633302470.0;5;Average experience.
7;727560573.0;9;Really loved the product!
9;9627136.0;10;Best purchase I’ve made!
11;536015025.0;8;Would recommend to friends.
12;386075240.0;7;Fast shipping, but item was flawed.
13;203222787.0;9;Satisfied with the purchase!
16;356801462.0;5;Disappointed with the product.
18;67118060.0;7;Good experience overall.
19;438824054.0;9;Excellent quality!
20;291381826.0;6;Not worth the money.
21;137771794.0;10;Fantastic service, very helpful staff!
23;150101497.0;7;Satisfactory but could be improved.
24;746299800.0;5;Didn't meet my expectations.
27;27988429.0;8;Good product, would buy again.
28;939959350.0;10;Absolutely love it!
30;599916506.0;7;Not too bad, but not great either.
33;928727692.0;6;It was okay, nothing special.
36;583053980.0;7;Happy with the purchase.
37;769134260.0;9;Would buy from here again!
38;929159741.0;10;Absolutely perfect!
39;568101990.0;4;Not what I expected.
40;405449053.0;8;A pleasant shopping experience.
43;238725546.0;7;Satisfactory but could improve.
44;229174789.0;5;Quality control needs improvement.
46;461739525.0;8;Good product, fast shipping.
48;991580304.0;6;It’s alright, nothing to rave about.
49;428235012.0;7;Good experience overall.
50;79098335.0;10;Highly recommend!
51;946032327.0;8;Nice product, well packaged.
52;288840587.0;9;Very happy with my purchase.
54;339979165.0;7;Decent quality, but pricey.
55;563658617.0;5;Not what I hoped for.
57;757477613.0;8;Satisfactory service.
59;211851560.0;9;Excellent, would recommend to others.
60;745830921.0;4;The quality does not match the price.
61;977137702.0;5;Wasn't impressed with this product.
62;100914923.0;10;Perfect, I couldn't be happier!
64;191261198.0;7;The item is okay, but I've seen better.
65;129091520.0;9;Very reliable, excellent service!
66;955565226.0;6;It’s decent, not great.
68;203205385.0;8;Good value for money.
70;41632124.0;5;Not what I expected.
71;333986972.0;4;The quality is disappointing.
72;141736619.0;9;Highly satisfied!
73;179749810.0;10;Fantastic purchase, highly recommend!
74;809283708.0;6;Good product but service was slow.
75;765444583.0;7;Quality could be improved.
77;214754712.0;8;Good quality for the price.
78;105357427.0;5;Mediocre experience, won't return.
81;186357727.0;9;Great experience overall.
83;450401807.0;6;It was fine, nothing to complain about.
85;410756691.0;10;Absolutely fantastic!
86;461325738.0;8;Good overall experience.
87;566777993.0;7;Would recommend it to others.
89;248496611.0;6;Not worth the price.
90;498592667.0;10;Excellent product and service!
91;909172410.0;8;Satisfied with my purchase.
92;331113725.0;7;It’s okay, could be better.
93;658473538.0;9;Great product for the price!
94;618102097.0;5;Quality is lower than expected.
95;226852087.0;10;Excellent service, very happy!
96;356520022.0;8;Good purchase, would recommend!
97;603071556.0;6;Average quality, needs improvement.
98;938077455.0;9;Very satisfied with this product!
99;561115708.0;7;Okay product, but could improve.
100;58171418.0;10;Fantastic service and product!
101;695919771.0;9;Highly recommended!
102;886479649.0;8;A decent purchase.
104;787700606.0;6;Okay but nothing special.
106;538595258.0;7;Just what I expected.
107;805524929.0;9;Very good, will buy again.
108;191073405.0;8;Satisfied but not thrilled.
109;482690212.0;6;Average experience.
110;7091716.0;5;The product is not what I wanted.
111;370207269.0;10;Absolutely love it!
113;20891485.0;8;Good quality, will purchase again.
116;687600555.0;7;Satisfied overall, but minor issues.
117;347959111.0;9;Good quality and service!
119;876942383.0;5;The item was damaged.
120;377965574.0;4;Not worth the hassle.
121;804580143.0;10;Fantastic product!
123;376593542.0;9;Very pleased with my purchase!
125;643108831.0;6;Could be better, but acceptable.
126;796746942.0;10;Excellent quality, love it!
127;576163368.0;5;The service was slow.
128;86575862.0;9;Very satisfied with the product!
130;788138037.0;6;Average, wouldn’t recommend.
131;262622230.0;10;Highly recommend this product!
132;382135475.0;8;Good quality for the price.
